"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2012","5.60","5.65","5.65","5.45","441.60K","-0.88%"
"Jul 25, 2012","5.65","5.60","5.70","5.50","150.10K","0.89%"
"Jul 26, 2012","5.60","5.65","5.75","5.60","81.90K","-0.88%"
"Jul 27, 2012","5.60","5.60","5.70","5.60","165.90K","0.00%"
"Jul 30, 2012","5.90","5.60","5.95","5.60","485.90K","5.36%"
"Jul 31, 2012","5.85","5.90","5.95","5.75","125.90K","-0.85%"
"Aug 01, 2012","5.70","5.85","5.85","5.50","171.80K","-2.56%"
"Aug 02, 2012","5.75","5.70","5.90","5.45","283.90K","0.88%"
"Aug 03, 2012","6.00","5.75","6.20","5.85","420.00K","4.35%"
"Aug 06, 2012","5.90","6.00","6.00","5.80","79.30K","-1.67%"
"Aug 07, 2012","5.95","5.90","6.05","5.90","237.80K","0.85%"
"Aug 08, 2012","5.90","5.95","6.00","5.90","47.90K","-0.84%"
"Aug 09, 2012","5.90","5.90","5.95","5.85","143.90K","0.00%"
"Aug 10, 2012","5.90","5.90","6.00","5.85","237.00K","0.00%"
"Aug 13, 2012","5.90","5.90","6.00","5.80","222.80K","0.00%"
"Aug 14, 2012","5.85","5.90","5.90","5.75","2.76M","-0.85%"
"Aug 15, 2012","5.70","5.85","5.80","5.70","58.10K","-2.56%"
"Aug 16, 2012","5.60","5.70","5.75","5.55","122.00K","-1.75%"
"Aug 17, 2012","5.65","5.60","5.80","5.60","117.30K","0.89%"
"Aug 21, 2012","5.65","5.65","5.80","5.60","137.40K","0.00%"
"Aug 22, 2012","5.70","5.65","5.80","5.60","118.00K","0.88%"
"Aug 23, 2012","5.65","5.70","5.75","5.65","115.40K","-0.88%"
"Aug 24, 2012","5.65","5.65","5.80","5.65","48.80K","0.00%"
"Aug 27, 2012","5.70","5.65","5.85","5.60","123.80K","0.88%"
"Aug 28, 2012","5.60","5.70","5.90","5.50","113.30K","-1.75%"
"Aug 29, 2012","6.00","5.60","6.05","5.50","21.80M","7.14%"
"Aug 30, 2012","5.85","6.00","5.95","5.70","127.50K","-2.50%"
"Aug 31, 2012","5.80","5.85","6.00","5.70","36.80K","-0.85%"
"Sep 03, 2012","5.65","5.80","5.85","5.65","56.90K","-2.59%"
"Sep 04, 2012","5.70","5.65","5.90","5.65","65.10K","0.88%"
"Sep 05, 2012","5.95","5.70","6.00","5.75","296.30K","4.39%"
"Sep 06, 2012","5.95","5.95","6.00","5.80","218.30K","0.00%"
"Sep 07, 2012","6.00","5.95","6.00","5.85","141.30K","0.84%"
"Sep 10, 2012","6.00","6.00","6.15","5.90","239.30K","0.00%"
"Sep 11, 2012","6.00","6.00","6.15","6.00","104.50K","0.00%"
"Sep 12, 2012","6.05","6.00","6.10","6.00","84.80K","0.83%"
"Sep 13, 2012","6.00","6.05","6.05","5.75","328.90K","-0.83%"
"Sep 14, 2012","5.90","6.00","6.05","5.80","108.70K","-1.67%"
"Sep 17, 2012","6.10","5.90","6.25","5.80","236.80K","3.39%"
"Sep 18, 2012","6.20","6.10","6.70","5.90","288.80K","1.64%"
"Sep 19, 2012","6.35","6.20","6.70","6.20","459.00K","2.42%"
"Sep 20, 2012","6.45","6.35","6.50","6.25","194.00K","1.57%"
"Sep 21, 2012","6.40","6.45","6.50","6.40","73.00K","-0.78%"
"Sep 24, 2012","6.40","6.40","6.45","6.35","95.30K","0.00%"
"Sep 25, 2012","6.30","6.40","6.45","5.85","114.30K","-1.56%"
"Sep 26, 2012","6.40","6.30","6.50","6.05","569.20K","1.59%"
"Sep 27, 2012","6.40","6.40","6.50","6.30","430.60K","0.00%"
"Sep 28, 2012","6.35","6.40","6.50","6.35","105.80K","-0.78%"
"Oct 01, 2012","6.35","6.35","6.40","6.20","121.80K","0.00%"
"Oct 02, 2012","6.20","6.35","6.40","6.10","243.70K","-2.36%"
"Oct 03, 2012","6.15","6.20","6.35","6.15","109.60K","-0.81%"
"Oct 04, 2012","6.30","6.15","6.40","6.20","97.60K","2.44%"
"Oct 05, 2012","6.40","6.30","6.50","6.20","108.40K","1.59%"
"Oct 08, 2012","6.20","6.40","6.30","6.20","104.30K","-3.13%"
"Oct 09, 2012","6.20","6.20","6.30","6.20","141.20K","0.00%"
"Oct 10, 2012","6.25","6.20","6.45","6.20","158.70K","0.81%"
"Oct 11, 2012","6.25","6.25","6.35","6.10","38.50K","0.00%"
"Oct 12, 2012","6.20","6.25","6.40","6.20","79.50K","-0.80%"
"Oct 15, 2012","6.15","6.20","6.30","6.10","157.70K","-0.81%"
"Oct 16, 2012","6.10","6.15","6.25","6.05","110.70K","-0.81%"
"Oct 17, 2012","6.10","6.10","6.20","6.05","85.20K","0.00%"
"Oct 18, 2012","6.45","6.10","6.50","6.05","2.05M","5.74%"
"Oct 19, 2012","6.30","6.45","6.40","6.20","469.00K","-2.33%"
"Oct 22, 2012","6.30","6.30","6.40","6.25","89.80K","0.00%"
"Oct 23, 2012","6.25","6.30","6.35","6.25","80.50K","-0.79%"
"Oct 24, 2012","6.25","6.25","6.30","6.25","98.20K","0.00%"
"Oct 25, 2012","6.30","6.25","6.40","6.25","248.00K","0.80%"
"Oct 26, 2012","6.25","6.30","6.30","6.25","46.10K","-0.79%"
"Oct 29, 2012","6.30","6.25","6.35","6.25","167.60K","0.80%"
"Oct 30, 2012","6.25","6.30","6.40","6.10","44.80K","-0.79%"
"Oct 31, 2012","6.20","6.25","6.30","6.10","102.60K","-0.80%"
"Nov 01, 2012","6.15","6.20","6.25","6.10","91.10K","-0.81%"
"Nov 02, 2012","6.15","6.15","6.25","6.10","462.00K","0.00%"
"Nov 05, 2012","6.15","6.15","6.20","6.05","2.28M","0.00%"
"Nov 06, 2012","6.15","6.15","6.25","6.00","234.20K","0.00%"
"Nov 07, 2012","6.10","6.15","6.20","6.10","74.20K","-0.81%"
"Nov 08, 2012","6.35","6.15","6.40","6.10","2.04M","4.10%"
"Nov 09, 2012","6.25","6.35","6.40","6.20","65.90K","-1.57%"
"Nov 12, 2012","6.25","6.25","6.30","6.25","74.20K","0.00%"
"Nov 13, 2012","6.30","6.25","6.40","6.25","317.50K","0.80%"
"Nov 14, 2012","6.30","6.30","6.50","6.25","58.90K","0.00%"
"Nov 15, 2012","6.30","6.30","6.50","6.30","1.25M","0.00%"
"Nov 16, 2012","6.30","6.30","6.45","6.25","87.90K","0.00%"
"Nov 19, 2012","6.30","6.30","6.45","6.20","72.90K","0.00%"
"Nov 20, 2012","6.20","6.30","6.40","6.20","104.30K","-1.59%"
"Nov 21, 2012","6.20","6.20","6.25","6.20","27.50K","0.00%"
"Nov 22, 2012","6.20","6.20","6.25","6.20","564.50K","0.00%"
"Nov 23, 2012","6.20","6.20","6.30","6.20","221.80K","0.00%"
"Nov 26, 2012","6.20","6.20","6.30","6.20","294.50K","0.00%"
"Nov 27, 2012","6.20","6.20","6.35","6.20","225.90K","0.00%"
"Nov 28, 2012","6.20","6.20","6.25","6.15","82.20K","0.00%"
"Nov 29, 2012","6.15","6.20","6.35","6.15","131.30K","-0.81%"
"Nov 30, 2012","6.05","6.15","6.20","6.00","184.70K","-1.63%"
"Dec 03, 2012","6.10","6.05","6.30","6.05","31.60K","0.83%"
"Dec 04, 2012","6.05","6.10","6.10","6.00","298.20K","-0.82%"
"Dec 05, 2012","5.85","6.05","6.00","5.80","72.50K","-3.31%"
"Dec 06, 2012","5.70","5.85","6.00","5.40","53.80K","-2.56%"
"Dec 07, 2012","5.50","5.70","5.85","5.45","57.30K","-3.51%"
"Dec 10, 2012","5.70","5.50","5.75","5.60","218.00K","3.64%"
"Dec 11, 2012","5.75","5.70","5.95","5.70","68.40K","0.88%"
"Dec 13, 2012","5.60","5.75","5.80","5.55","49.20K","-2.61%"
"Dec 14, 2012","5.60","5.60","5.75","5.55","149.20K","0.00%"
"Dec 17, 2012","5.60","5.60","5.70","5.55","205.60K","0.00%"
"Dec 18, 2012","5.65","5.60","5.75","5.60","278.60K","0.89%"
"Dec 19, 2012","5.80","5.65","5.95","5.65","34.30K","2.65%"
