,age,gender,smile,mood,attention,distance
57494,11,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.58
57497,11,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.48
57506,11,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.46
57507,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.59
57508,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.38
57510,12,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.4
57511,12,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.48
57512,12,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.9
57516,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.29
57520,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.54
57521,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.49
57522,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.46
57523,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.47
57524,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.54
57525,13,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.64
57526,13,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.49
57528,17,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.74
57533,10,FEMALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.37
57534,9,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.45
57537,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.37
57538,10,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.47
57539,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.42
57540,9,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.36
57544,5,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.7
57546,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.81
57547,6,FEMALE,NOT_SMILING,POSITIVE,LOOKING_LEFT,0.84
57548,6,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.72
57557,10,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.48
57566,16,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.51
57575,35,MALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.85
57605,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.63
57607,9,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.69
57609,9,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.58
57618,6,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.58
57621,9,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.64
57623,9,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.53
57625,9,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.51
57627,9,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.48
57637,6,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.59
57638,6,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.49
57640,6,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.5
57646,7,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.74
57648,8,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.39
57650,6,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.49
57652,6,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.56
57653,6,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.58
57655,6,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.38
57656,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.42
57657,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.36
57661,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.96
57689,12,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.61
57690,12,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.53
57691,12,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.47
57692,12,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
57705,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,0.83
57707,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.86
57708,11,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.78
57709,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.98
57713,8,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.91
57714,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.94
57715,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.87
57718,7,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.67
57720,13,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.81
57726,21,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.51
57730,16,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.68
57731,17,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.89
57734,29,MALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,0.69
57736,28,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.49
57738,21,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.89
57741,54,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.45
57751,12,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,1.18
57752,12,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.59
57753,13,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.23
57758,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.72
57760,14,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.69
57761,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.62
57762,14,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN_RIGHT,0.56
57768,37,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.38
57793,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.26
57804,32,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,1.24
57805,32,FEMALE,BROADLY_SMILING,NEUTRAL,LOOKING_RIGHT,1.22
57808,32,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.03
57809,30,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.06
57829,37,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.77
57832,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.61
57833,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.6
57834,6,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.93
57837,14,FEMALE,BROADLY_SMILING,NEUTRAL,LOOKING_DOWN,0.58
57838,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.69
57884,6,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.54
57885,6,FEMALE,SMILING,POSITIVE,LOOKING_RIGHT,0.76
57886,6,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.75
57889,6,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.4
57891,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.61
57896,15,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.19
57904,37,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.62
57906,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.72
57908,8,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.37
57909,8,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.39
57910,8,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.84
57911,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.8
57923,12,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.34
57926,12,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.84
57927,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,0.97
57964,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.86
57967,8,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.98
57970,8,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.99
57974,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.02
57976,3,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.0
57977,3,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.96
57978,3,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.63
57984,6,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.63
57986,6,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.95
57995,6,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.55
57996,68,MALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,1.02
58018,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.96
58029,6,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.12
58030,6,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,1.1
58031,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.02
58033,4,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.09
58038,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.23
58041,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.44
58043,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.47
58044,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.54
58059,4,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.63
58062,29,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.73
58123,42,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.36
58124,42,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.59
58126,42,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.39
58127,42,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.28
58128,42,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.49
58129,42,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
58130,38,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.41
58132,40,MALE,SMILING,POSITIVE,LOOKING_UP,0.57
58133,40,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.63
58134,37,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
58135,37,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.58
58136,34,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
58143,35,MALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.71
58144,35,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.45
58145,35,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.91
58146,35,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.89
58147,35,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.89
58148,35,MALE,SMILING,POSITIVE,LOOKING_LEFT,0.86
58149,35,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.88
58150,35,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.13
58151,35,MALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.89
58152,35,MALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.67
58153,35,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.34
58158,41,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.36
58159,41,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.62
58160,41,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.61
58161,41,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.57
58162,41,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.71
58164,34,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.74
58165,34,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.78
58166,34,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.77
58171,32,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.17
58173,31,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.8
58177,35,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.72
58198,8,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.51
58241,12,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.98
58244,29,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.98
58248,21,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.93
58255,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.98
58256,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.67
58266,8,FEMALE,SMILING,POSITIVE,LOOKING_RIGHT,0.56
58267,19,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.38
58273,40,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.34
58299,72,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.8
58302,72,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.86
58310,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.78
58312,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.68
58314,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.76
58317,23,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.45
58319,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.62
58320,21,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.46
58321,21,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.51
58323,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.47
58324,23,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.46
58329,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.5
58335,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.43
58337,7,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.3
58340,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.54
58341,7,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.56
58342,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.53
58344,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.81
58348,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.71
58349,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,0.84
58352,6,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.68
58354,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.33
58381,30,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.57
58383,29,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.91
58415,8,MALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.76
58421,12,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.63
58425,12,MALE,SMILING,POSITIVE,LOOKING_UP_LEFT,0.65
58427,12,MALE,SMILING,NEGATIVE,LOOKING_DOWN,0.65
58428,4,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.56
58439,8,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.84
58446,6,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.55
58586,34,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.64
58640,27,FEMALE,SMILING,POSITIVE,LOOKING_DOWN_RIGHT,0.69
58648,11,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_RIGHT,1.13
58651,11,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.26
58653,19,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.85
58656,10,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.77
58658,11,MALE,NOT_SMILING,NEUTRAL,LOOKING_UP_RIGHT,0.29
58659,11,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.44
58660,11,MALE,NOT_SMILING,NEGATIVE,LOOKING_UP_LEFT,0.36
58661,11,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.31
58665,20,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.79
58668,14,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.43
58672,10,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.45
58673,23,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.96
58674,23,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.78
58680,15,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.86
58681,15,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
58682,14,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.45
58683,7,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.63
58684,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.72
58685,7,FEMALE,SMILING,NEUTRAL,LOOKING_RIGHT,0.75
58686,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.81
58687,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.72
58691,18,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.58
58692,18,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.4
58693,18,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.57
58694,18,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.61
58707,5,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.67
58708,5,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.7
58710,7,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.41
58711,7,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.48
58714,7,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.34
58716,33,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_RIGHT,0.83
58717,33,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.86
58720,10,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.3
58732,2,MALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.13
58737,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_UP,1.04
58741,17,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.41
58748,5,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.6
58749,5,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.36
58752,10,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.37
58760,28,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
58767,17,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,1.11
58773,17,FEMALE,SMILING,POSITIVE,LOOKING_DOWN_LEFT,0.35
58776,7,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.42
58781,5,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
58783,5,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.43
58785,5,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.77
58789,20,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.63
58795,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.6
58801,31,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.4
58802,31,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.39
58803,31,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.34
58804,31,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.45
58805,31,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
58806,31,FEMALE,SMILING,POSITIVE,LOOKING_UP_RIGHT,0.5
58810,19,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
58811,19,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.57
58827,23,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.37
58844,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.99
58853,10,FEMALE,SMILING,POSITIVE,LOOKING_DOWN_LEFT,0.34
58874,33,MALE,NOT_SMILING,POSITIVE,LOOKING_LEFT,0.59
58892,10,FEMALE,SMILING,POSITIVE,LOOKING_DOWN_RIGHT,0.41
58898,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.42
58899,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.42
58900,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.35
58918,7,FEMALE,NOT_SMILING,POSITIVE,LOOKING_RIGHT,0.56
58921,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.06
58922,7,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.13
58923,21,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_RIGHT,0.49
58924,21,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.49
58939,32,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.72
58945,27,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.75
58946,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.74
58964,25,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.22
59007,6,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.55
59021,10,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.45
59022,7,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.29
59025,10,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.67
59048,12,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.74
59050,8,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.72
59051,8,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.73
59053,8,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.7
59054,8,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.68
59067,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.69
59070,7,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.66
59102,43,MALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.85
59109,9,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.82
59110,8,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.82
59122,5,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_LEFT,0.78
59125,6,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.0
59135,9,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.81
59145,16,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.78
59146,16,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.92
59148,11,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.95
59150,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.52
59151,8,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.5
59156,16,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.61
59157,16,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.61
59170,49,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.67
59171,43,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.78
59176,5,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.29
59177,70,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.47
59222,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.39
59228,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.55
59230,23,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.9
59272,36,MALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.78
59315,26,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.87
59365,56,MALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.0
59367,13,MALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.19
59368,13,MALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.84
59369,13,MALE,BROADLY_SMILING,POSITIVE,LOOKING_RIGHT,0.77
59370,17,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.94
59371,20,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.48
59374,27,MALE,SMILING,POSITIVE,LOOKING_DOWN,1.01
59381,20,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.61
59389,8,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.22
59390,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.75
59395,8,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.33
59419,19,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.87
59467,8,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.14
59478,6,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.74
59482,6,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.41
59489,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.79
59490,8,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.62
59495,9,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.41
59500,11,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.55
59509,10,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.63
59511,10,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.44
59512,10,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.41
59516,7,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.67
59518,11,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.23
59522,9,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.51
59531,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.62
59532,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.51
59533,9,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.52
59535,9,MALE,SMILING,NEGATIVE,LOOKING_DOWN,0.81
59539,9,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,1.37
