,age,gender,smile,mood,attention,distance
673,43,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_RIGHT,0.74
675,24,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.09
679,24,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.16
712,33,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.6
713,33,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.44
734,17,MALE,NOT_SMILING,NEUTRAL,LOOKING_UP_RIGHT,0.57
735,17,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN_LEFT,0.67
736,17,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.66
743,13,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.66
744,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.62
745,13,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.61
746,10,FEMALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.59
762,21,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.67
798,23,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,1.16
799,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.2
800,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.16
801,20,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,1.03
802,20,MALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,1.03
821,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.02
822,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.0
823,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.02
824,27,MALE,NOT_SMILING,NEUTRAL,LOOKING_UP_RIGHT,1.0
825,26,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.99
826,25,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.06
863,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
866,21,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.56
